REF_NO	流水号
BILL_SIGN_DATE	出票日期
APPLY_MSG_NO	申请书号码
BILL_CODE	汇票种类
ENCRYPT_KEY	票据密押
APPLYER_BANK_CODE	申请开户行
ORIG_SEND_BANK	原发起行行号
APPLYER_ACCT_NO	申请人账号
APPLYER_NAME	申请人名称
AGENT_ACCT	代理账号
AGENT_NAME	代理户名
BILL_ACCEPT_BANK	现金兑付行
BILL_ACCEPT_NAME	现金兑付行行名
PAYEE_ACCT	收款人账号
PAYEE_NAME	收款人名称
TRAN_AMT	交易金额
COST_FEE	工本费
REMITTANCE_FEE	汇划费
POSTSCRIPT	附言
BILL_NO	汇票号码
BILL_AGENT_BANK_CODE	汇票签发行
BILL_AGENT_BANK_NAME	签发行名称
BILL_AMT	出票金额
SETTLE_AMT	解付金额
REDUNDANT_AMT	多余金额
PAYEE_BANK	收款人开户行
PAYEE_BANK_NAME	收款人开户行行名
PROMPT_DATE	提示付款日期
REMARK	挂失原因
HANGUP_REMARK	解挂原因
REPORT_LOSS_NAME	挂失人名称
BUSI_REF_NO	原挂失书号
BILL_STATUS	票据状态
LOG_NO	日志号
SUMMONS_NO	传票号
AUTH_OPR	授权员
OPERATOR	录入员
REVERSAL_LOG_NO	原交易日志号
REVERSAL_SUMMONS_NO	原交易传票号
DISCOUNT_AMT	优惠金额
STATUS	交易状态
PAY_TYPE	兑付类型
PAYER_BANK_CODE	付款行行号
MSG_SEQ_NO	报文标示号
SEND_BANK_CODE	发起行号
REPORT_LOSS_DATE	挂失日期
